epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
73,62169.8,0.8352,0.60387,1.22432,0.97125,0.95687,0.97913,0.778,0.85103,0.39253,1.17212,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,63018.9,0.82867,0.59914,1.21631,0.97077,0.95735,0.97871,0.77796,0.84954,0.39105,1.17028,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,63868.1,0.82405,0.59897,1.21539,0.97083,0.95801,0.97897,0.77812,0.84596,0.38955,1.16759,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,64717.8,0.82953,0.59864,1.21237,0.9723,0.95852,0.97933,0.77886,0.84586,0.38902,1.16744,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,65566.9,0.8224,0.59406,1.21321,0.97262,0.95819,0.97946,0.77989,0.84423,0.38836,1.166,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,66416.5,0.81984,0.58955,1.20979,0.97278,0.95838,0.97941,0.77894,0.84533,0.38808,1.16648,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
79,67265.7,0.8115,0.5775,1.20453,0.97357,0.95757,0.97953,0.77958,0.84419,0.38713,1.16581,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
80,68115,0.80669,0.57613,1.20199,0.97394,0.95611,0.97957,0.78065,0.8434,0.38648,1.1649,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
81,68964.7,0.80901,0.57752,1.20211,0.97516,0.95577,0.97963,0.78049,0.8433,0.3866,1.16521,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
82,69813.1,0.80817,0.5768,1.203,0.97563,0.95551,0.97962,0.78039,0.84447,0.38595,1.16601,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905
83,70662,0.80317,0.56516,1.19692,0.97703,0.95588,0.97962,0.78053,0.84536,0.38539,1.16623,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
84,71511,0.80146,0.5713,1.19676,0.97776,0.95589,0.97972,0.78,0.84582,0.3858,1.16613,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
85,72359.9,0.79993,0.56938,1.19902,0.97777,0.95589,0.97968,0.77945,0.84748,0.38453,1.16713,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
86,73208.6,0.79663,0.56263,1.19152,0.97881,0.95535,0.97966,0.78018,0.84925,0.3843,1.16809,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
87,74057.3,0.79248,0.55695,1.1889,0.97881,0.95482,0.97976,0.77998,0.84924,0.38321,1.16805,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
